"exp_id","embedding_model","chunk_size","chunk_overlap","k","retrieval_strategy","reranker","temperature","generator_model","judge_model","timestamp","total_questions","experiment_duration_s","total_cpu_time_s","total_energy_j","mean_latency_per_question_s","mean_cpu_time_per_question_s","mean_energy_per_question_j","grounding_passes","grounding_fails","relevance_passes","relevance_fails","mean_grounding_score","mean_relevance_score"
"exp0019","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","cross-encoder","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-01T09:31:48.941816","40","1439.88","8.16","","35.97","0.204","","23","17","16","24","0.532","0.528"
"exp0020","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","cross-encoder","0.0","mistral:7b","qwen2.5:7b","2026-05-01T09:55:48.845195","40","1548.17","16.47","","38.67","0.412","","26","14","15","25","0.562","0.588"
"exp0021","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","cross-encoder","0.0","gemma2:9b","qwen2.5:7b","2026-05-01T10:21:37.038134","40","1420.09","8.17","","35.48","0.204","","22","18","15","25","0.53","0.515"
"exp0022","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","cross-encoder","0.0","llama3.2:3b","qwen2.5:7b","2026-05-01T10:45:17.154695","40","1304.32","8.02","","32.59","0.2","","24","16","15","25","0.542","0.525"
"exp0023","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","cross-encoder","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-01T11:07:01.495986","40","1527.11","10.2","","38.15","0.255","","31","9","8","32","0.641","0.483"
"exp0024","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","none","0.0","phi4:14b","qwen2.5:7b","2026-05-01T11:32:28.629413","40","2308.95","29.32","","57.68","0.733","","30","10","25","15","0.698","0.735"
"exp0025","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","none","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-01T12:10:57.613096","40","1784.02","14.45","","44.58","0.361","","30","10","24","16","0.677","0.688"
"exp0026","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","none","0.0","mistral:7b","qwen2.5:7b","2026-05-01T12:40:41.669325","40","1942.03","41.76","","48.5","1.044","","33","7","21","19","0.742","0.71"
"exp0027","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","none","0.0","gemma2:9b","qwen2.5:7b","2026-05-01T13:13:03.723555","40","1773.87","12.54","","44.33","0.314","","32","8","19","21","0.698","0.63"
"exp0028","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","none","0.0","llama3.2:3b","qwen2.5:7b","2026-05-01T13:42:37.619596","40","1579.07","13.02","","39.46","0.326","","32","8","23","17","0.72","0.67"
"exp0029","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","none","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-01T14:08:56.718488","40","1768.31","37.89","","44.16","0.947","","34","6","15","25","0.722","0.583"
"exp0030","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","cross-encoder","0.0","phi4:14b","qwen2.5:7b","2026-05-01T14:38:25.063552","40","1780.84","40.89","","44.45","1.022","","29","11","26","14","0.685","0.7"
"exp0031","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","cross-encoder","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-01T15:08:05.933150","40","1448.57","25.75","","36.17","0.644","","29","11","24","16","0.695","0.667"
"exp0032","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","cross-encoder","0.0","mistral:7b","qwen2.5:7b","2026-05-01T15:32:14.534650","40","1489.25","13.5","","37.2","0.338","","31","9","20","20","0.713","0.703"
"exp0033","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","cross-encoder","0.0","gemma2:9b","qwen2.5:7b","2026-05-01T15:57:03.814301","40","1412.81","36.56","","35.26","0.914","","29","11","21","19","0.68","0.675"
"exp0034","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","cross-encoder","0.0","llama3.2:3b","qwen2.5:7b","2026-05-01T16:20:36.656542","40","1276.47","14.31","","31.88","0.358","","27","13","21","19","0.647","0.67"
"exp0035","sentence-transformers/all-MiniLM-L6-v2","500","100","3","hybrid","cross-encoder","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-01T16:41:53.154089","40","1505.11","21.86","","37.59","0.546","","34","6","14","26","0.703","0.585"
"exp0036","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","none","0.0","phi4:14b","qwen2.5:7b","2026-05-01T17:06:58.294032","40","2112.85","27.8","","52.79","0.695","","27","13","20","20","0.666","0.65"
"exp0037","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","none","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-01T17:42:11.170224","40","1753.52","25.06","","43.81","0.626","","29","11","21","19","0.695","0.63"
"exp0038","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","none","0.0","mistral:7b","qwen2.5:7b","2026-05-01T18:11:24.722857","40","1791.08","13.13","","44.76","0.328","","28","12","21","19","0.658","0.698"
"exp0039","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","none","0.0","gemma2:9b","qwen2.5:7b","2026-05-01T18:41:15.838881","40","1707.54","25.87","","42.66","0.647","","28","12","19","21","0.67","0.6"
"exp0040","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","none","0.0","llama3.2:3b","qwen2.5:7b","2026-05-01T19:09:43.414527","40","1493.42","15.05","","37.32","0.376","","28","12","19","21","0.62","0.6"
"exp0041","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","none","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-01T19:34:36.866264","40","1589.02","12.89","","39.71","0.322","","33","7","9","31","0.743","0.545"
"exp0042","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","cross-encoder","0.0","phi4:14b","qwen2.5:7b","2026-05-01T20:01:05.912987","40","1945.18","13.66","","48.6","0.342","","27","13","23","17","0.645","0.65"
"exp0043","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","cross-encoder","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-01T20:33:31.124750","40","1524.68","14.76","","38.09","0.369","","28","12","21","19","0.657","0.617"
"exp0044","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","cross-encoder","0.0","mistral:7b","qwen2.5:7b","2026-05-01T20:58:55.842747","40","1610.93","13.59","","40.24","0.34","","30","10","24","16","0.683","0.71"
"exp0045","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","cross-encoder","0.0","gemma2:9b","qwen2.5:7b","2026-05-01T21:25:46.808438","40","1528.23","31.67","","38.15","0.792","","26","14","20","20","0.64","0.613"
"exp0046","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","cross-encoder","0.0","llama3.2:3b","qwen2.5:7b","2026-05-01T21:51:15.069458","40","1351.42","13.12","","33.76","0.328","","28","12","20","20","0.64","0.613"
"exp0047","sentence-transformers/all-MiniLM-L6-v2","500","100","5","dense","cross-encoder","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-01T22:13:46.528497","40","1600.79","37.83","","39.96","0.946","","29","11","11","29","0.66","0.562"
"exp0048","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","none","0.0","phi4:14b","qwen2.5:7b","2026-05-01T22:40:27.358480","40","2247.65","8.37","","56.18","0.209","","26","14","20","20","0.601","0.583"
"exp0049","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","none","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-01T23:17:55.045554","40","1790.01","21.23","","44.72","0.531","","27","13","19","21","0.625","0.58"
"exp0050","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","none","0.0","mistral:7b","qwen2.5:7b","2026-05-01T23:47:45.094595","40","1897.83","8.09","","47.44","0.202","","30","10","17","23","0.667","0.625"
"exp0051","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","none","0.0","gemma2:9b","qwen2.5:7b","2026-05-02T00:19:22.973380","40","1831.63","7.73","","45.78","0.193","","26","14","14","26","0.603","0.55"
"exp0052","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","none","0.0","llama3.2:3b","qwen2.5:7b","2026-05-02T00:49:54.642463","40","1590.7","7.64","","39.76","0.191","","24","16","15","25","0.547","0.545"
"exp0053","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","none","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-02T01:16:25.373662","40","1817.51","15.56","","45.42","0.389","","32","8","11","29","0.682","0.52"
"exp0054","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","cross-encoder","0.0","phi4:14b","qwen2.5:7b","2026-05-02T01:46:42.922233","40","2035.38","8.97","","50.86","0.224","","26","14","22","18","0.597","0.615"
"exp0055","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","cross-encoder","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-02T02:20:38.340763","40","1595.85","8.42","","39.87","0.21","","26","14","17","23","0.603","0.555"
"exp0056","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","cross-encoder","0.0","mistral:7b","qwen2.5:7b","2026-05-02T02:47:14.222471","40","1711.46","15.44","","42.75","0.386","","28","12","17","23","0.637","0.625"
"exp0057","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","cross-encoder","0.0","gemma2:9b","qwen2.5:7b","2026-05-02T03:15:45.722902","40","1620.05","8.23","","40.48","0.206","","25","15","15","25","0.585","0.562"
"exp0058","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","cross-encoder","0.0","llama3.2:3b","qwen2.5:7b","2026-05-02T03:42:45.813672","40","1437.38","16.67","","35.9","0.417","","28","12","17","23","0.603","0.613"
"exp0059","sentence-transformers/all-MiniLM-L6-v2","500","100","5","bm25","cross-encoder","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-02T04:06:43.229528","40","1708.64","9.23","","42.69","0.231","","28","12","8","32","0.595","0.532"
"exp0060","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","none","0.0","phi4:14b","qwen2.5:7b","2026-05-02T04:35:11.913209","40","2667.5","29.01","","66.65","0.725","","31","9","26","14","0.719","0.747"
"exp0061","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","none","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-02T05:19:39.458261","40","2074.9","14.94","","51.86","0.373","","31","9","24","16","0.708","0.677"
"exp0062","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","none","0.0","mistral:7b","qwen2.5:7b","2026-05-02T05:54:14.400613","40","2193.58","15.83","","54.82","0.396","","34","6","24","16","0.753","0.725"
"exp0063","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","none","0.0","gemma2:9b","qwen2.5:7b","2026-05-02T06:30:48.019349","40","2157.17","14.26","","53.91","0.356","","31","9","22","18","0.677","0.682"
"exp0064","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","none","0.0","llama3.2:3b","qwen2.5:7b","2026-05-02T07:06:45.228193","40","1699.21","41.46","","42.43","1.036","","30","10","23","17","0.682","0.665"
"exp0065","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","none","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-02T07:35:04.481903","40","1896.29","22.03","","47.38","0.551","","33","7","13","27","0.677","0.588"
"exp0066","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","cross-encoder","0.0","phi4:14b","qwen2.5:7b","2026-05-02T08:06:40.811247","40","1998.35","21.28","","49.92","0.532","","29","11","28","12","0.68","0.733"
"exp0067","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","cross-encoder","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-02T08:39:59.200991","40","1618.77","13.65","","40.44","0.341","","30","10","24","16","0.713","0.688"
"exp0068","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","cross-encoder","0.0","mistral:7b","qwen2.5:7b","2026-05-02T09:06:58.009573","40","1597.46","28.47","","39.89","0.712","","34","6","24","16","0.755","0.742"
"exp0069","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","cross-encoder","0.0","gemma2:9b","qwen2.5:7b","2026-05-02T09:33:35.515048","40","1571.34","49.71","","39.2","1.243","","31","9","23","17","0.713","0.688"
"exp0070","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","cross-encoder","0.0","llama3.2:3b","qwen2.5:7b","2026-05-02T09:59:46.896784","40","1433.25","43.06","","35.76","1.077","","31","9","23","17","0.728","0.713"
"exp0071","sentence-transformers/all-MiniLM-L6-v2","500","100","5","hybrid","cross-encoder","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-02T10:23:40.189253","40","1458.61","15.03","","36.43","0.376","","33","7","17","23","0.738","0.67"
"exp0072","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","none","0.0","phi4:14b","qwen2.5:7b","2026-05-02T10:48:55.085924","40","1875.59","41.67","","46.84","1.042","","20","20","21","19","0.465","0.562"
"exp0073","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","none","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-02T11:20:10.718423","40","1535.1","56.95","","38.31","1.424","","22","18","20","20","0.512","0.573"
"exp0074","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","none","0.0","mistral:7b","qwen2.5:7b","2026-05-02T11:45:45.867183","40","1623.17","40.87","","40.53","1.022","","27","13","20","20","0.562","0.725"
"exp0075","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","none","0.0","gemma2:9b","qwen2.5:7b","2026-05-02T12:12:49.082301","40","1546.75","24.08","","38.64","0.602","","20","20","18","22","0.47","0.562"
"exp0076","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","none","0.0","llama3.2:3b","qwen2.5:7b","2026-05-02T12:38:35.881543","40","1273.98","41.6","","31.8","1.04","","22","18","15","25","0.505","0.52"
"exp0077","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","none","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-02T12:59:49.913289","40","1537.4","45.7","","38.38","1.143","","23","17","7","33","0.501","0.478"
"exp0078","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","cross-encoder","0.0","phi4:14b","qwen2.5:7b","2026-05-02T13:25:27.356509","40","1673.96","89.63","","41.72","2.241","","23","17","21","19","0.509","0.605"
"exp0079","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","cross-encoder","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-02T13:53:21.358192","40","1372.63","42.84","","34.25","1.071","","22","18","20","20","0.508","0.562"
"exp0080","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","cross-encoder","0.0","mistral:7b","qwen2.5:7b","2026-05-02T14:16:14.035825","40","1497.49","65.18","","37.34","1.63","","22","18","21","19","0.525","0.698"
"exp0081","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","cross-encoder","0.0","gemma2:9b","qwen2.5:7b","2026-05-02T14:41:11.570152","40","1303.9","61.22","","32.51","1.53","","20","20","18","22","0.483","0.575"
"exp0082","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","cross-encoder","0.0","llama3.2:3b","qwen2.5:7b","2026-05-02T15:02:55.524621","40","1301.76","23.72","","32.5","0.593","","25","15","17","23","0.537","0.593"
"exp0083","sentence-transformers/all-mpnet-base-v2","500","100","3","dense","cross-encoder","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-02T15:24:37.331935","40","1553.06","26.13","","38.78","0.653","","26","14","14","26","0.57","0.573"
"exp0084","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","none","0.0","phi4:14b","qwen2.5:7b","2026-05-02T15:50:30.439638","40","1936.6","12.68","","48.4","0.317","","24","16","19","21","0.552","0.545"
"exp0085","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","none","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-02T16:22:47.084741","40","1599.58","12.01","","39.98","0.3","","26","14","19","21","0.613","0.568"
"exp0086","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","none","0.0","mistral:7b","qwen2.5:7b","2026-05-02T16:49:26.717652","40","1673.1","44.29","","41.77","1.107","","30","10","16","24","0.655","0.608"
"exp0087","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","none","0.0","gemma2:9b","qwen2.5:7b","2026-05-02T17:17:19.862303","40","1589.63","11.83","","39.73","0.296","","26","14","16","24","0.585","0.552"
"exp0088","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","none","0.0","llama3.2:3b","qwen2.5:7b","2026-05-02T17:43:49.552641","40","1434.25","12.18","","35.84","0.304","","24","16","14","26","0.552","0.537"
"exp0089","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","none","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-02T18:07:43.859165","40","1617.95","12.83","","40.43","0.321","","30","10","11","29","0.62","0.547"
"exp0090","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","cross-encoder","0.0","phi4:14b","qwen2.5:7b","2026-05-02T18:34:41.854038","40","1735.81","13.29","","43.37","0.332","","23","17","20","20","0.535","0.573"
"exp0091","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","cross-encoder","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-02T19:03:37.717940","40","1480.57","12.72","","36.98","0.318","","25","15","18","22","0.585","0.56"
"exp0092","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","cross-encoder","0.0","mistral:7b","qwen2.5:7b","2026-05-02T19:28:18.339558","40","1551.28","13.1","","38.75","0.328","","28","12","16","24","0.615","0.625"
"exp0093","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","cross-encoder","0.0","gemma2:9b","qwen2.5:7b","2026-05-02T19:54:09.676842","40","1440.49","12.52","","35.98","0.313","","25","15","16","24","0.58","0.535"
"exp0094","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","cross-encoder","0.0","llama3.2:3b","qwen2.5:7b","2026-05-02T20:18:10.209634","40","1323.22","14.1","","33.05","0.352","","25","15","16","24","0.568","0.545"
"exp0095","sentence-transformers/all-mpnet-base-v2","500","100","3","bm25","cross-encoder","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-02T20:40:13.479346","40","1567.29","13.4","","39.15","0.335","","32","8","9","31","0.657","0.515"
"exp0096","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","none","0.0","phi4:14b","qwen2.5:7b","2026-05-02T21:06:20.829167","40","2299.03","24.56","","57.45","0.614","","30","10","23","17","0.698","0.68"
"exp0097","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","none","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-02T21:44:39.907968","40","1840.65","79.3","","45.91","1.982","","31","9","23","17","0.71","0.667"
"exp0098","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","none","0.0","mistral:7b","qwen2.5:7b","2026-05-02T22:15:20.614149","40","1962.73","23.97","","49.04","0.599","","32","8","23","17","0.703","0.725"
"exp0099","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","none","0.0","gemma2:9b","qwen2.5:7b","2026-05-02T22:48:03.397202","40","1817.79","25.21","","45.41","0.63","","30","10","22","18","0.685","0.688"
"exp0100","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","none","0.0","llama3.2:3b","qwen2.5:7b","2026-05-02T23:18:21.235377","40","1578.06","87.59","","39.34","2.19","","28","12","20","20","0.617","0.665"
"exp0101","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","none","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-02T23:44:39.362156","40","1608.3","25.28","","40.18","0.632","","28","12","12","28","0.575","0.565"
"exp0102","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","cross-encoder","0.0","phi4:14b","qwen2.5:7b","2026-05-03T00:11:27.725322","40","1793.71","24.61","","44.8","0.615","","28","12","24","16","0.662","0.682"
"exp0103","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","cross-encoder","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-03T00:41:21.481438","40","1438.24","32.25","","35.9","0.806","","30","10","24","16","0.725","0.675"
"exp0104","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","cross-encoder","0.0","mistral:7b","qwen2.5:7b","2026-05-03T01:05:19.770417","40","1509.69","75.87","","37.63","1.897","","32","8","23","17","0.725","0.74"
"exp0105","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","cross-encoder","0.0","gemma2:9b","qwen2.5:7b","2026-05-03T01:30:29.512160","40","1370.05","23.94","","34.21","0.599","","29","11","21","19","0.69","0.662"
"exp0106","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","cross-encoder","0.0","llama3.2:3b","qwen2.5:7b","2026-05-03T01:53:19.613111","40","1252.41","73.86","","31.2","1.847","","29","11","21","19","0.677","0.67"
"exp0107","sentence-transformers/all-mpnet-base-v2","500","100","3","hybrid","cross-encoder","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-03T02:14:12.069514","40","1693.22","76.05","","42.22","1.901","","33","7","17","23","0.705","0.642"
"exp0108","sentence-transformers/all-mpnet-base-v2","500","100","5","dense","none","0.0","phi4:14b","qwen2.5:7b","2026-05-03T02:42:25.340527","40","2171.12","23.96","","54.25","0.599","","22","18","20","20","0.503","0.605"
"exp0109","sentence-transformers/all-mpnet-base-v2","500","100","5","dense","none","0.0","qwen2.5:7b","qwen2.5:7b","2026-05-03T03:18:36.511932","40","1725.19","54.34","","43.06","1.359","","21","19","18","22","0.495","0.517"
"exp0110","sentence-transformers/all-mpnet-base-v2","500","100","5","dense","none","0.0","mistral:7b","qwen2.5:7b","2026-05-03T03:47:21.753060","40","1910.41","54.39","","47.69","1.36","","28","12","24","16","0.58","0.762"
"exp0111","sentence-transformers/all-mpnet-base-v2","500","100","5","dense","none","0.0","gemma2:9b","qwen2.5:7b","2026-05-03T04:19:12.212531","40","1758.1","24.26","","43.93","0.607","","22","18","17","23","0.503","0.537"
"exp0112","sentence-transformers/all-mpnet-base-v2","500","100","5","dense","none","0.0","llama3.2:3b","qwen2.5:7b","2026-05-03T04:48:30.367995","40","1470.65","23.57","","36.74","0.589","","23","17","14","26","0.505","0.528"
"exp0113","sentence-transformers/all-mpnet-base-v2","500","100","5","dense","none","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-03T05:13:01.072023","40","1660.73","42.49","","41.47","1.062","","27","13","13","27","0.575","0.525"
